"Movie","Year","Duration","Genres","Rating","Num_of_Votes","Five_Year","Final_Genre","Types_of_Duration"
"Halfaouine: Boy of the Terraces",1990,98,"Comedy,Drama",6.7,1198,"1990","Drama","Just Nice"
"Demonia",1990,88,"Horror,Mystery",4.5,1207,"1990","Mystery","Very Short"
"Baby Blood",1990,88,"Horror",6,1511,"1990","Horror","Very Short"
"Catchfire",1990,116,"Action,Comedy,Crime",5.4,3318,"1990","Action","Long"
"A Tale of Springtime",1990,108,"Comedy,Drama,Romance",7.3,3583,"1990","Comedy","Long"
"Dezha vyu",1990,108,"Comedy,Crime,History",7.6,1218,"1990","Crime","Long"
"Flesh Gordon Meets the Cosmic Cheerleaders",1990,102,"Comedy,Sci-Fi",3.6,1389,"1990","Comedy","Just Nice"
"Kadhalan",1994,168,"Action,Drama,Romance",7.2,1761,"1990","Action","Extremely Long"
"I Bought a Vampire Motorcycle",1990,101,"Comedy,Horror",5.6,1006,"1990","Comedy","Just Nice"
"The Local Stigmatic",1990,56,"Drama",5.9,1430,"1990","Drama","Very Short"
"May Fools",1990,107,"Comedy,Romance",7.2,2712,"1990","Romance","Long"
"Moon 44",1990,98,"Action,Sci-Fi,Thriller",5.1,4658,"1990","Sci-Fi","Just Nice"
"Paprika",1991,99,"Drama",5.6,3302,"1990","Drama","Just Nice"
"Prom Night III: The Last Kiss",1990,97,"Comedy,Horror,Thriller",4.7,1908,"1990","Horror","Short"
"Spontaneous Combustion",1990,97,"Horror,Sci-Fi,Thriller",4.8,2282,"1990","Thriller","Short"
"Der Todesking: The Death King",1990,80,"Drama,Horror",6.5,2167,"1990","Drama","Very Short"
"The Match Factory Girl",1990,69,"Comedy,Drama",7.6,8766,"1990","Comedy","Very Short"
"The Voice of the Moon",1990,120,"Comedy,Drama",6.3,2397,"1990","Comedy","Extremely Long"
"Three Men and a Little Lady",1990,104,"Comedy,Drama,Family",5.5,22445,"1990","Family","Just Nice"
"Boiling Point",1990,96,"Action,Comedy,Crime",6.8,5983,"1990","Comedy","Short"
"The Adventures of Ford Fairlane",1990,104,"Action,Adventure,Comedy",6.5,16981,"1990","Adventure","Just Nice"
"After Dark, My Sweet",1990,114,"Crime,Drama,Mystery",6.6,3151,"1990","Crime","Long"
"The Path of Fire",1990,174,"Action,Crime,Drama",7.7,8189,"1990","Action","Extremely Long"
"Air America",1990,113,"Action,Comedy,War",5.8,26697,"1990","Comedy","Long"
"Alice",1990,106,"Comedy,Romance",6.6,13214,"1990","Romance","Long"
"Almost an Angel",1990,95,"Comedy,Drama",5.6,4024,"1990","Drama","Short"
"The Ambulance",1990,96,"Action,Comedy,Horror",5.9,3059,"1990","Horror","Short"
"An Angel at My Table",1990,158,"Biography,Drama",7.5,6536,"1990","Drama","Extremely Long"
"Anjali",1990,150,"Drama,Family",8.2,2624,"1990","Drama","Extremely Long"
"Another 48 Hrs.",1990,93,"Action,Comedy,Crime",5.9,37804,"1990","Comedy","Short"
"Arachnophobia",1990,109,"Comedy,Fantasy,Horror",6.4,62375,"1990","Comedy","Long"
"Archangel",1990,90,"Comedy,Drama,Romance",6.5,1225,"1990","Drama","Very Short"
"Avalon",1990,128,"Drama",7.2,5623,"1990","Drama","Extremely Long"
"Awakenings",1990,121,"Biography,Drama",7.8,122020,"1990","Biography","Extremely Long"
"A Rebel for Love",1990,157,"Action,Romance",5.6,1164,"1990","Romance","Extremely Long"
"Back to the Future Part III",1990,118,"Adventure,Comedy,Sci-Fi",7.4,397895,"1990","Adventure","Long"
"Bad Influence",1990,99,"Drama,Thriller",6.2,7289,"1990","Thriller","Just Nice"
"Basket Case 2",1990,90,"Comedy,Horror",5.4,4317,"1990","Horror","Very Short"
"Betsy's Wedding",1990,94,"Comedy,Romance",5.6,3357,"1990","Romance","Short"
"Bird on a Wire",1990,110,"Action,Comedy",6,39474,"1990","Action","Long"
"BlackJack",1990,111,"Drama,Music",5.6,1385,"1990","Music","Long"
"Blue Steel",1990,102,"Action,Crime,Drama",5.8,12268,"1990","Drama","Just Nice"
"The Bonfire of the Vanities",1990,125,"Comedy,Drama,Romance",5.6,21429,"1990","Romance","Extremely Long"
"Book of Love",1990,82,"Comedy,Romance",6.2,1028,"1990","Comedy","Very Short"
"Brain Dead",1990,85,"Horror,Mystery,Sci-Fi",6,3802,"1990","Sci-Fi","Very Short"
"Bride of Re-Animator",1990,96,"Comedy,Horror,Sci-Fi",6.3,13589,"1990","Comedy","Short"
"Buried Alive",1990,93,"Horror,Romance,Thriller",6.5,3764,"1990","Romance","Short"
"By Dawn's Early Light",1990,100,"Action,Drama,Thriller",7.1,2669,"1990","Action","Just Nice"
"Cadillac Man",1990,97,"Comedy,Crime",5.7,13202,"1990","Crime","Short"
"Child's Play 2",1990,84,"Horror,Thriller",5.9,44503,"1990","Horror","Very Short"
"China O'Brien",1990,86,"Action",5.2,1075,"1990","Action","Very Short"
"My Mother's Castle",1990,98,"Adventure,Biography,Comedy",7.6,4720,"1990","Comedy","Just Nice"
"Class of 1999",1990,99,"Action,Horror,Sci-Fi",5.9,6618,"1990","Action","Just Nice"
"Come See the Paradise",1990,138,"Drama,Romance,War",6.7,2543,"1990","War","Extremely Long"
"The Comfort of Strangers",1990,107,"Drama,Thriller",6.3,4576,"1990","Thriller","Long"
"Le comiche",1990,90,"Comedy",5.8,1329,"1990","Comedy","Very Short"
"Coupe de Ville",1990,99,"Comedy,Drama",6.7,2243,"1990","Drama","Just Nice"
"Cover-Up",1991,90,"Action,Thriller",4.5,1215,"1990","Action","Very Short"
"Crazy People",1990,90,"Comedy,Drama",6.1,4089,"1990","Comedy","Very Short"
"Cry-Baby",1990,85,"Comedy,Musical",6.5,54264,"1990","Comedy","Very Short"
"Cyrano de Bergerac",1990,137,"Comedy,Drama,History",7.5,22220,"1990","Drama","Extremely Long"
"Dances with Wolves",1990,181,"Adventure,Drama,Western",8,236451,"1990","Drama","Extremely Long"
"The Dark Side of the Moon",1990,87,"Action,Horror,Mystery",5,2129,"1990","Horror","Very Short"
"Darkman",1990,96,"Action,Sci-Fi,Thriller",6.4,57834,"1990","Sci-Fi","Short"
"Days of Thunder",1990,107,"Action,Drama,Sport",6.1,78036,"1990","Action","Long"
"Death Warrant",1990,89,"Action,Crime,Mystery",5.7,16998,"1990","Action","Very Short"
"The Death of the Incredible Hulk",1990,95,"Action,Adventure,Drama",5.8,2134,"1990","Action","Short"
"Def by Temptation",1990,95,"Horror",4.6,1240,"1990","Horror","Short"
"Delta Force 2: The Colombian Connection",1990,111,"Action,Adventure,Crime",4.9,6659,"1990","Crime","Long"
"Demon Wind",1990,96,"Horror",5,2116,"1990","Horror","Short"
"Desperate Hours",1990,105,"Action,Crime,Drama",5.4,6865,"1990","Action","Just Nice"
"Dick Tracy",1990,105,"Action,Comedy,Crime",6.1,56960,"1990","Crime","Just Nice"
"Die Hard 2",1990,124,"Action,Thriller",7.2,331555,"1990","Thriller","Extremely Long"
"Bullet in the Head",1990,136,"Action,Crime,Drama",7.6,9726,"1990","Drama","Extremely Long"
"Heart",1990,172,"Comedy,Drama,Romance",6.7,4833,"1990","Comedy","Extremely Long"
"The Boyfriend School",1990,103,"Comedy,Romance",5.9,2466,"1990","Comedy","Just Nice"
"Downtown",1990,96,"Action,Comedy,Crime",5.8,1739,"1990","Crime","Short"
"DuckTales the Movie: Treasure of the Lost Lamp",1990,74,"Adventure,Animation,Comedy",6.9,24701,"1990","Animation","Very Short"
"Døden på Oslo S",1990,99,"Action,Crime,Drama",6,1268,"1990","Crime","Just Nice"
"The Ages of Lulu",1990,95,"Drama",5.6,3409,"1990","Drama","Short"
"Edward Scissorhands",1990,105,"Drama,Fantasy,Romance",7.9,440199,"1990","Fantasy","Just Nice"
"Ernest Goes to Jail",1990,81,"Comedy,Crime,Family",5.4,8786,"1990","Comedy","Very Short"
"Everybody Wins",1990,97,"Drama,Mystery,Thriller",5.1,1049,"1990","Mystery","Short"
"Evil Toons",1992,90,"Animation,Comedy,Fantasy",3.9,2375,"1990","Comedy","Very Short"
"The Exorcist III",1990,110,"Drama,Horror,Mystery",6.4,25221,"1990","Mystery","Long"
"Fantozzi alla riscossa",1990,105,"Comedy",5.8,1320,"1990","Comedy","Just Nice"
"Far Out Man",1990,81,"Comedy",5.1,1003,"1990","Comedy","Very Short"
"Operation Condor",1991,106,"Action,Adventure,Comedy",7.3,18460,"1990","Adventure","Long"
"The Field",1990,107,"Drama,Thriller",7.4,5452,"1990","Drama","Long"
"Fire Birds",1990,85,"Action,Adventure",4.8,5827,"1990","Adventure","Very Short"
"The First Power",1990,98,"Crime,Horror,Thriller",5.7,3580,"1990","Thriller","Just Nice"
"Flashback",1990,108,"Action,Adventure,Comedy",6.3,4929,"1990","Action","Long"
"Flatliners",1990,115,"Drama,Horror,Sci-Fi",6.6,79140,"1990","Horror","Long"
"Flight of the Intruder",1991,115,"Action,Drama,Thriller",5.8,6306,"1990","Action","Long"
"The Forbidden Dance",1990,97,"Drama,Music,Romance",3.9,1488,"1990","Romance","Short"
"The Fourth War",1990,91,"Drama,Thriller",5.6,1352,"1990","Drama","Short"
"Frankenhooker",1990,85,"Comedy,Horror,Sci-Fi",6.2,8722,"1990","Sci-Fi","Very Short"
"Roger Corman's Frankenstein Unbound",1990,85,"Drama,Horror,Sci-Fi",5.5,3502,"1990","Horror","Very Short"
"The Freshman",1990,102,"Comedy,Crime",6.4,18499,"1990","Crime","Just Nice"
"Funny About Love",1990,101,"Comedy,Romance",5,1263,"1990","Romance","Just Nice"
"Gate 2: The Trespassers",1990,90,"Comedy,Fantasy,Horror",4.8,1918,"1990","Horror","Very Short"
"A Cat in the Brain",1990,87,"Comedy,Horror",5.7,2963,"1990","Comedy","Very Short"
"Ghayal",1990,163,"Action,Crime,Drama",7.6,3913,"1990","Action","Extremely Long"
"Ghost",1990,127,"Drama,Fantasy,Romance",7.1,193962,"1990","Drama","Extremely Long"
"Ghost Dad",1990,83,"Comedy,Family,Fantasy",4.4,7375,"1990","Family","Very Short"
"My Father's Glory",1990,105,"Adventure,Biography,Drama",7.6,5945,"1990","Adventure","Just Nice"
"The Godfather: Part III",1990,162,"Crime,Drama",7.6,352677,"1990","Crime","Extremely Long"
"Goodfellas",1990,146,"Biography,Crime,Drama",8.7,999954,"1990","Biography","Extremely Long"
"Graffiti Bridge",1990,90,"Drama,Music",4.5,1771,"1990","Drama","Very Short"
"Graveyard Shift",1990,89,"Horror",5,9717,"1990","Horror","Very Short"
"Green Card",1990,107,"Comedy,Drama,Romance",6.2,22252,"1990","Comedy","Long"
"Gremlins 2: The New Batch",1990,106,"Comedy,Fantasy,Horror",6.4,91409,"1990","Comedy","Long"
"The Rift",1990,83,"Action,Adventure,Horror",4.7,1729,"1990","Adventure","Very Short"
"The Grifters",1990,110,"Crime,Drama,Thriller",6.9,24978,"1990","Drama","Long"
"The Guardian",1990,92,"Drama,Horror,Mystery",5.4,4967,"1990","Mystery","Short"
"Hamlet",1990,135,"Drama",6.7,21097,"1990","Drama","Extremely Long"
"Hamoun",1990,120,"Drama",8.1,6203,"1990","Drama","Extremely Long"
"The Handmaid's Tale",1990,109,"Drama,Romance,Sci-Fi",6,8585,"1990","Drama","Long"
"Happily Ever After",1990,75,"Animation,Family,Fantasy",5.6,2124,"1990","Animation","Very Short"
"Hard to Kill",1990,96,"Action,Crime,Drama",5.8,27046,"1990","Drama","Short"
"Hardware",1990,94,"Sci-Fi,Thriller",6,12885,"1990","Sci-Fi","Short"
"Havana",1990,144,"Drama,Romance,War",6.1,7107,"1990","War","Extremely Long"
"Heart Condition",1990,100,"Comedy,Crime,Drama",5.6,3215,"1990","Crime","Just Nice"
"Henry & June",1990,136,"Biography,Drama",6.3,12218,"1990","Drama","Extremely Long"
"Hidden Agenda",1990,108,"Drama,Thriller",6.9,3548,"1990","Thriller","Long"
"Europa Europa",1990,112,"Drama,History,War",7.6,14897,"1990","War","Long"
"Home Alone",1990,103,"Comedy,Family",7.6,454722,"1990","Family","Just Nice"
"The Hot Spot",1990,130,"Crime,Drama,Romance",6.4,10360,"1990","Crime","Extremely Long"
"House Party",1990,100,"Comedy,Music,Romance",6.4,12927,"1990","Music","Just Nice"
"The Hunt for Red October",1990,135,"Action,Adventure,Thriller",7.6,176377,"1990","Adventure","Extremely Long"
"The Prisoner",1990,125,"Action,Crime,Drama",5.9,3152,"1990","Crime","Extremely Long"
"Shipwrecked",1990,92,"Adventure,Family",6.7,2467,"1990","Family","Short"
"Dark Angel",1990,91,"Action,Crime,Horror",6.1,10209,"1990","Horror","Short"
"I Hired a Contract Killer",1990,79,"Comedy,Drama,Romance",7.2,5693,"1990","Comedy","Very Short"
"I Love You to Death",1990,97,"Comedy,Crime",6.4,13268,"1990","Crime","Short"
"Impulse",1990,109,"Crime,Drama,Thriller",5.6,1158,"1990","Crime","Long"
"Industrial Symphony No. 1: The Dream of the Brokenhearted",1990,50,"Drama,Fantasy,Music",7,1621,"1990","Music","Very Short"
"Internal Affairs",1990,115,"Crime,Drama,Thriller",6.5,17340,"1990","Crime","Long"
"The Invisible Maniac",1990,86,"Comedy,Horror,Sci-Fi",3.9,1105,"1990","Comedy","Very Short"
"Jacob's Ladder",1990,113,"Drama,Horror,Mystery",7.5,97405,"1990","Horror","Long"
"Jekyll & Hyde",1990,96,"Horror,Thriller",6.2,1023,"1990","Thriller","Short"
"Jetsons: The Movie",1990,82,"Animation,Comedy,Family",5.6,4679,"1990","Comedy","Very Short"
"Joe Versus the Volcano",1990,102,"Comedy,Romance",5.8,34128,"1990","Romance","Just Nice"
"Ju Dou",1990,95,"Drama,Romance",7.7,7483,"1990","Romance","Short"
"Killer Tomatoes Strike Back!",1991,87,"Comedy",3.7,1404,"1990","Comedy","Very Short"
"Kindergarten Cop",1990,111,"Action,Comedy,Crime",6.1,134352,"1990","Crime","Long"
"King of New York",1990,103,"Crime,Thriller",7,31408,"1990","Thriller","Just Nice"
"Korczak",1990,118,"Biography,Drama,War",7.4,1188,"1990","Biography","Long"
"The Krays",1990,115,"Biography,Crime,Drama",6.6,7563,"1990","Drama","Long"
"The Last of the Finest",1990,106,"Action,Crime,Drama",5.8,1166,"1990","Crime","Long"
"Leatherface: Texas Chainsaw Massacre III",1990,85,"Horror,Thriller",5.1,13945,"1990","Thriller","Very Short"
"Life Is Sweet",1990,103,"Comedy,Drama",7.5,8952,"1990","Comedy","Just Nice"
"Lionheart",1990,108,"Action,Crime,Drama",6.2,32438,"1990","Crime","Long"
"The Long Walk Home",1990,97,"Drama,History",7.3,3201,"1990","History","Short"
"Look Who's Talking Too",1990,81,"Comedy,Family,Romance",4.7,44020,"1990","Comedy","Very Short"
"Loose Cannons",1990,94,"Action,Comedy,Crime",4.9,4393,"1990","Comedy","Short"
"Lord of the Flies",1990,90,"Adventure,Drama,Thriller",6.4,27533,"1990","Adventure","Very Short"
"Love at Large",1990,97,"Comedy,Drama,Mystery",5.7,1139,"1990","Mystery","Short"
"Macken - Roy's & Roger's Bilservice",1990,92,"Comedy",6.1,1004,"1990","Comedy","Short"
"Madhouse",1990,90,"Comedy",5.5,2861,"1990","Comedy","Very Short"
"Maniac Cop 2",1990,90,"Action,Crime,Horror",5.9,6062,"1990","Horror","Very Short"
"The Hairdresser's Husband",1990,82,"Comedy,Drama,Romance",7.2,8924,"1990","Drama","Very Short"
"Marked for Death",1990,93,"Action,Adventure,Crime",6,19463,"1990","Adventure","Short"
"Meet the Applegates",1990,90,"Comedy,Fantasy,Horror",5.5,2159,"1990","Horror","Very Short"
"Memphis Belle",1990,107,"Action,Drama,War",6.9,26507,"1990","War","Long"
"Men Don't Leave",1990,115,"Comedy,Drama",6.6,2343,"1990","Comedy","Long"
"Men at Work",1990,98,"Action,Comedy,Crime",6,22504,"1990","Action","Just Nice"
"Mermaids",1990,110,"Comedy,Drama,Romance",6.7,28253,"1990","Comedy","Long"
"Metropolitan",1990,98,"Comedy,Drama,Romance",7.4,9394,"1990","Comedy","Just Nice"
"Miami Blues",1990,97,"Comedy,Crime,Drama",6.4,7657,"1990","Comedy","Short"
"Miller's Crossing",1990,115,"Crime,Drama,Thriller",7.7,124387,"1990","Thriller","Long"
"Mindwalk",1990,112,"Drama",7.6,2867,"1990","Drama","Long"
"Mindwarp",1991,91,"Horror,Sci-Fi,Thriller",5.3,2141,"1990","Thriller","Short"
"Mirror Mirror",1990,104,"Horror,Thriller",5.7,1418,"1990","Horror","Just Nice"
"Misery",1990,107,"Drama,Thriller",7.8,180851,"1990","Drama","Long"
"Mister Frost",1990,104,"Drama,Horror,Thriller",6.1,2419,"1990","Thriller","Just Nice"
"Mo' Better Blues",1990,129,"Drama,Music,Romance",6.6,11030,"1990","Drama","Extremely Long"
"Mountains of the Moon",1990,136,"Adventure,Drama,History",7.2,3373,"1990","Adventure","Extremely Long"
"Mr. & Mrs. Bridge",1990,126,"Drama",6.6,2781,"1990","Drama","Extremely Long"
"Mr. Destiny",1990,110,"Comedy,Fantasy,Romance",6.4,11434,"1990","Romance","Long"
"My Blue Heaven",1990,97,"Comedy,Crime",6.3,18469,"1990","Comedy","Short"
"Narrow Margin",1990,97,"Action,Crime,Thriller",6.6,7819,"1990","Thriller","Short"
"Navy Seals",1990,113,"Action,Adventure,Thriller",5.6,15587,"1990","Action","Long"
"Close-Up",1990,98,"Biography,Crime,Drama",8.3,15362,"1990","Drama","Just Nice"
"The NeverEnding Story II: The Next Chapter",1990,90,"Adventure,Drama,Family",5.2,24094,"1990","Adventure","Very Short"
"Night of the Living Dead",1990,92,"Horror",6.9,38374,"1990","Horror","Short"
"Nightbreed",1990,102,"Action,Fantasy,Horror",6.6,19440,"1990","Fantasy","Just Nice"
"La Femme Nikita",1990,117,"Action,Thriller",7.3,66518,"1990","Action","Long"
"Nouvelle vague",1990,90,"Drama",6.8,1353,"1990","Drama","Very Short"
"Nuns on the Run",1990,89,"Comedy,Crime",6,7515,"1990","Comedy","Very Short"
"The Nutcracker Prince",1990,75,"Adventure,Animation,Family",6.9,2134,"1990","Animation","Very Short"
"The Old Man and the Sea",1990,93,"Drama",6.8,1351,"1990","Drama","Short"
"Opportunity Knocks",1990,103,"Comedy",6.1,2830,"1990","Comedy","Just Nice"
"Operation Corned Beef",1991,105,"Action,Comedy,Romance",6.1,2440,"1990","Action","Just Nice"
"Pacific Heights",1990,102,"Thriller",6.4,17850,"1990","Thriller","Just Nice"
"Paris Is Burning",1990,71,"Documentary",8.2,12278,"1990","Documentary","Very Short"
"Pasport",1990,103,"Adventure,Comedy,Drama",7.5,1005,"1990","Comedy","Just Nice"
"The Pit and the Pendulum",1991,97,"Horror,Romance",6,4152,"1990","Horror","Short"
"Postcards from the Edge",1990,101,"Comedy,Drama",6.7,15293,"1990","Drama","Just Nice"
"Predator 2",1990,108,"Action,Horror,Sci-Fi",6.3,144499,"1990","Sci-Fi","Long"
"Presumed Innocent",1990,127,"Mystery,Thriller",6.9,36976,"1990","Thriller","Extremely Long"
"Pretty Woman",1990,119,"Comedy,Romance",7,283753,"1990","Romance","Long"
"Problem Child",1990,81,"Comedy,Family",5.5,28160,"1990","Family","Very Short"
"Pump Up the Volume",1990,102,"Comedy,Drama,Music",7.2,26013,"1990","Drama","Just Nice"
"Q & A",1990,132,"Crime,Drama,Thriller",6.6,5263,"1990","Crime","Extremely Long"
"Quick Change",1990,89,"Comedy,Crime",6.8,18890,"1990","Crime","Very Short"
"The Rainbow Thief",1990,87,"Drama,Fantasy",5.9,1262,"1990","Drama","Very Short"
"The Reflecting Skin",1990,96,"Drama,Horror,Thriller",6.8,7177,"1990","Horror","Short"
"Journey of Hope",1990,105,"Drama",7.5,1872,"1990","Drama","Just Nice"
"Repossessed",1990,80,"Comedy,Fantasy,Horror",4.9,8033,"1990","Horror","Very Short"
"The Rescuers Down Under",1990,77,"Adventure,Animation,Crime",6.9,37729,"1990","Adventure","Very Short"
"Revenge",1990,124,"Action,Crime,Drama",6.3,16416,"1990","Drama","Extremely Long"
"Reversal of Fortune",1990,111,"Biography,Drama,Mystery",7.2,14453,"1990","Biography","Long"
"Riff-Raff",1991,95,"Comedy,Drama",7,4066,"1990","Comedy","Short"
"My New Partner at the Races",1990,107,"Action,Comedy,Crime",6.1,1879,"1990","Comedy","Long"
"RoboCop 2",1990,117,"Action,Crime,Sci-Fi",5.8,80266,"1990","Action","Long"
"Rock 'n' Roll High School Forever",1991,95,"Comedy,Music",5,1097,"1990","Music","Short"
"Rocky V",1990,104,"Drama,Sport",5.3,125042,"1990","Drama","Just Nice"
"The Rookie",1990,120,"Action,Crime,Drama",5.9,25083,"1990","Drama","Extremely Long"
"Rosencrantz & Guildenstern Are Dead",1990,117,"Comedy,Drama",7.4,20642,"1990","Comedy","Long"
"The Russia House",1990,123,"Drama,Romance,Thriller",6.1,14150,"1990","Drama","Extremely Long"
"The Nasty Girl",1990,94,"Comedy,Drama,History",7.3,2374,"1990","Drama","Short"
"The Sect",1991,125,"Horror",6.2,2295,"1990","Horror","Extremely Long"
"Shakma",1990,100,"Horror,Sci-Fi,Thriller",5.1,1734,"1990","Sci-Fi","Just Nice"
"The Sheltering Sky",1990,138,"Adventure,Drama",6.8,11518,"1990","Adventure","Extremely Long"
"A Shock to the System",1990,88,"Comedy,Crime,Thriller",6.7,4142,"1990","Comedy","Very Short"
"Short Time",1990,97,"Comedy,Crime,Drama",6.4,2066,"1990","Drama","Short"
"The Shrimp on the Barbie",1990,90,"Comedy",5.7,1169,"1990","Comedy","Very Short"
"Sibling Rivalry",1990,87,"Comedy",5.4,2434,"1990","Comedy","Very Short"
"Side Out",1990,100,"Comedy,Drama,Romance",5.6,1825,"1990","Drama","Just Nice"
"Singapore Sling",1990,111,"Comedy,Drama,Horror",6.6,2087,"1990","Horror","Long"
"A Chinese Ghost Story II",1990,104,"Action,Comedy,Fantasy",7,3128,"1990","Fantasy","Just Nice"
"Ski Patrol",1990,91,"Action,Comedy",5.3,3261,"1990","Action","Short"
"Slumber Party Massacre III",1990,87,"Comedy,Horror",4.7,2398,"1990","Comedy","Very Short"
"Solar Crisis",1990,112,"Sci-Fi,Thriller",4,1673,"1990","Sci-Fi","Long"
"Sorority House Massacre II",1990,77,"Comedy,Horror,Thriller",4.9,1883,"1990","Thriller","Very Short"
"Spaced Invaders",1990,100,"Adventure,Comedy,Sci-Fi",5.4,3258,"1990","Adventure","Just Nice"
"Stanley & Iris",1990,104,"Drama,Romance",6.4,6998,"1990","Romance","Just Nice"
"Everybody's Fine",1990,118,"Drama",7.7,3528,"1990","Drama","Long"
"State of Grace",1990,134,"Action,Crime,Drama",7.2,20529,"1990","Action","Extremely Long"
"Stella",1990,109,"Drama,Romance",6.2,2306,"1990","Romance","Long"
"Tales from the Darkside",1990,93,"Comedy,Fantasy,Horror",6.3,15103,"1990","Fantasy","Short"
"Auntie Danielle",1990,112,"Comedy,Drama",7.1,3292,"1990","Comedy","Long"
"Taxi Blues",1990,110,"Comedy,Drama",7.4,1596,"1990","Comedy","Long"
"Teenage Mutant Ninja Turtles",1990,93,"Action,Adventure,Comedy",6.8,84291,"1990","Action","Short"
"To Sleep with Anger",1990,102,"Drama",7.3,1797,"1990","Drama","Just Nice"
"Too Young to Die?",1990,92,"Crime,Drama",5.9,3645,"1990","Drama","Short"
"Total Recall",1990,113,"Action,Sci-Fi,Thriller",7.5,297661,"1990","Thriller","Long"
"Treasure Island",1990,132,"Action,Adventure,Crime",7.2,4658,"1990","Crime","Extremely Long"
"Tremors",1990,96,"Comedy,Horror",7.1,118364,"1990","Comedy","Short"
"Tune in Tomorrow...",1990,107,"Comedy,Romance",6.2,1700,"1990","Comedy","Long"
"Two Evil Eyes",1990,120,"Horror",6.1,6103,"1990","Horror","Extremely Long"
"The Two Jakes",1990,137,"Crime,Drama,Mystery",6.2,10977,"1990","Mystery","Extremely Long"
"Uranus",1990,100,"Comedy,Drama",7.1,1150,"1990","Comedy","Just Nice"
"Vincent & Theo",1990,140,"Biography,Drama",6.9,3634,"1990","Drama","Extremely Long"
"Welcome Home, Roxy Carmichael",1990,95,"Comedy,Drama",5.9,4875,"1990","Drama","Short"
"Werner - Beinhart!",1990,93,"Action,Animation,Comedy",6.7,5246,"1990","Animation","Short"
"Where the Heart Is",1990,107,"Comedy,Drama",6,1471,"1990","Drama","Long"
"White Hunter Black Heart",1990,112,"Adventure,Drama",6.6,10972,"1990","Adventure","Long"
"Wild at Heart",1990,125,"Comedy,Crime,Drama",7.2,81964,"1990","Comedy","Extremely Long"
"The Witches",1990,91,"Adventure,Comedy,Family",6.8,39055,"1990","Adventure","Short"
"King of Beggars",1992,101,"Action,Comedy,Drama",6.9,3234,"1990","Action","Just Nice"
"The Swordsman",1990,118,"Action,History",7,2068,"1990","History","Long"
"Hiruko the Goblin",1991,89,"Comedy,Fantasy,Horror",5.9,1129,"1990","Fantasy","Very Short"
"Dreams",1990,119,"Drama,Fantasy",7.8,23567,"1990","Drama","Long"
"Zandalee",1991,100,"Drama,Romance,Thriller",4.4,3380,"1990","Romance","Just Nice"
"Once a Thief",1991,108,"Action,Comedy,Crime",6.8,5822,"1990","Comedy","Long"
"¡Ay, Carmela!",1990,102,"Comedy,Drama,War",7.2,2454,"1990","Drama","Just Nice"
"29th Street",1991,101,"Comedy,Drama",7.3,2555,"1990","Drama","Just Nice"
"35 Up",1991,123,"Biography,Documentary",8.2,2288,"1990","Biography","Extremely Long"
"976-Evil II",1991,93,"Horror",4.3,1512,"1990","Horror","Short"
"Days of Being Wild",1990,100,"Crime,Drama,Romance",7.6,17683,"1990","Crime","Just Nice"
"Across the Tracks",1990,100,"Drama,Sport",5.8,2069,"1990","Drama","Just Nice"
"The Addams Family",1991,99,"Comedy,Fantasy",6.9,131075,"1990","Comedy","Just Nice"
"The Adjuster",1991,102,"Comedy,Drama",6.7,3117,"1990","Drama","Just Nice"
"Afraid of the Dark",1991,91,"Drama,Fantasy,Horror",5.8,1050,"1990","Fantasy","Short"
"The Stranger",1991,120,"Drama",8.1,3010,"1990","Drama","Extremely Long"
"Prodigy",1991,178,"Action,Adventure,Comedy",5.2,1164,"1990","Action","Extremely Long"
"All I Want for Christmas",1991,92,"Comedy,Family,Romance",6,4337,"1990","Family","Short"
"Alligator II: The Mutation",1991,92,"Horror,Sci-Fi",3.8,1983,"1990","Sci-Fi","Short"
"The Lover",1992,115,"Biography,Drama,Romance",6.9,18961,"1990","Biography","Long"
"Lovers: A True Story",1991,103,"Crime,Drama,Romance",7,2684,"1990","Drama","Just Nice"
"The Lovers on the Bridge",1991,125,"Drama,Romance",7.6,12213,"1990","Drama","Extremely Long"
"American Ninja 4: The Annihilation",1990,99,"Action,Drama",3.9,4403,"1990","Action","Just Nice"
"American Shaolin",1991,106,"Action",5.9,1285,"1990","Action","Long"
"An American Tail: Fievel Goes West",1991,75,"Adventure,Animation,Family",6.5,23282,"1990","Animation","Very Short"
"Another You",1991,98,"Comedy,Crime",5.4,3554,"1990","Comedy","Just Nice"
"Article 99",1992,100,"Comedy,Drama",6.1,2936,"1990","Comedy","Just Nice"
"At Play in the Fields of the Lord",1991,189,"Drama,Romance",6.9,3055,"1990","Romance","Extremely Long"
"Atlantis",1991,78,"Documentary,Music",6.7,1738,"1990","Music","Very Short"
"Backdraft",1991,137,"Action,Crime,Drama",6.7,70379,"1990","Drama","Extremely Long"
"Barton Fink",1991,116,"Comedy,Drama,Thriller",7.7,111573,"1990","Drama","Long"
"Beastmaster 2: Through the Portal of Time",1991,107,"Action,Adventure,Fantasy",4.1,2919,"1990","Fantasy","Long"
"Beauty and the Beast",1991,84,"Animation,Family,Fantasy",8,412532,"1990","Animation","Very Short"
"The Beautiful Troublemaker",1991,238,"Drama",7.7,6969,"1990","Drama","Extremely Long"
