"Movie","Year","Duration","Genres","Rating","Num_of_Votes","Five_Year","Final_Genre","Types_of_Duration"
"Pigs",2007,85,"Comedy",4.6,3395,"2005","Comedy","Very Short"
"Worlds Apart",2008,116,"Drama",7,2820,"2005","Drama","Long"
"Natale in crociera",2007,105,"Comedy",3.9,1004,"2005","Comedy","Just Nice"
"Let it Rain",2008,110,"Comedy,Drama",6,1682,"2005","Drama","Long"
"Hell House LLC III: Lake of Fire",2019,85,"Horror,Mystery",5.7,2910,"2015","Horror","Very Short"
"Water for Elephants",2011,122,"Drama,Romance",6.9,110206,"2010","Drama","Extremely Long"
"Patrik, Age 1.5",2008,103,"Comedy,Drama,Romance",6.9,9248,"2005","Romance","Just Nice"
"Adult World",2013,97,"Comedy,Drama",6.1,16678,"2010","Comedy","Short"
"Game of Assassins",2013,80,"Action,Adventure,Horror",5.5,2152,"2010","Action","Very Short"
"Monte Carlo",2011,109,"Adventure,Comedy,Family",5.8,40761,"2010","Comedy","Long"
"Detective Conan: The Last Wizard of the Century",1999,105,"Adventure,Animation,Crime",7.5,1941,"1995","Adventure","Just Nice"
"Footloose",2011,113,"Comedy,Drama,Music",5.9,45901,"2010","Drama","Long"
"Snowglobe",2007,86,"Comedy,Family,Fantasy",6,2131,"2005","Family","Very Short"
"The Burning Plain",2008,107,"Crime,Drama,Romance",6.8,18562,"2005","Romance","Long"
"The Class",2008,128,"Drama",7.5,33685,"2005","Drama","Extremely Long"
"I've Loved You So Long",2008,117,"Drama",7.6,19653,"2005","Drama","Long"
"Telstar: The Joe Meek Story",2008,119,"Biography,Drama,Music",6.5,1530,"2005","Music","Long"
"Veronika Decides to Die",2009,103,"Drama,Romance",6.4,12081,"2005","Romance","Just Nice"
"Yes Man",2008,104,"Comedy,Romance",6.8,331299,"2005","Comedy","Just Nice"
"Western Stars",2019,83,"Documentary,Music",7.6,1365,"2015","Documentary","Very Short"
